"first_name","last_name","season","season_type","league","team","games","starts","minutes","points","two_points_made","two_points_attempted","three_points_made","three_points_attempted","free_throws_made","free_throws_attempted","blocked_shot_attempts","offensive_rebounds","defensive_rebounds","assists","screen_assists","turnovers","steals","deflections","loose_balls_recovered","blocked_shots","personal_fouls","personal_fouls_drawn","offensive_fouls","charges_drawn","technical_fouls","flagrant_fouls","ejections","points_off_turnovers","points_in_paint","second_chance_points","fast_break_points","possessions","estimated_possessions","team_possessions","usage_percentage","true_shooting_percentage","three_point_attempt_rate","free_throw_rate","offensive_rebounding_percentage","defensive_rebounding_percentage","total_rebounding_percentage","assist_percentage","steal_percentage","block_percentage","turnover_percentage","internal_box_plus_minus"
"theo","greene",2021,"Full Season","EuroLeague","Redhawks",25,18,527.61,195,40,78,30,74,25,31,5,8,59,58,0,26,13,0,0,0,40,39,0,0,0,0,0,0,0,0,0,919.7698,919.7698,1778.1345,18.2974,0.5886,0.4868,0.2039,3.2474,13.4519,9.7267,19.0212,1.8221,0,13.5671,0.7786
"theo","greene",2021,"Full Season","Spain - ACB","Redhawks",17,10,356.7,135,26,56,20,43,23,29,2,11,40,37,0,14,7,0,0,1,20,26,0,0,0,0,0,0,0,0,0,652.1629,652.1629,1461.3459,16.973,0.604,0.4343,0.2929,3.7781,13.5418,9.9234,14.7139,0.8723,0.8292,11.1323,2.7367
"miles","brussino",2021,"Full Season","EuroCup","Orange",12,2,204.7,82,14,25,11,27,21,22,2,3,27,9,0,10,6,0,0,5,22,20,0,0,0,0,0,0,0,0,0,386.7079,386.7079,1057.9286,16.5449,0.6647,0.5192,0.4231,3.0377,14.5608,10.4102,5.2539,1.5268,3.0675,13.9509,3.22
"miles","brussino",2021,"Full Season","Italy - Liga A","Orange",16,3,266,83,24,47,5,25,20,24,2,7,30,8,0,7,9,0,0,3,24,20,0,0,0,0,0,0,0,0,0,500.4995,500.4995,1354.7356,15.546,0.5027,0.3472,0.3333,3.7641,14.6187,8.9342,4.4051,1.9879,1.4668,7.816,-1.5619
"kadoshnikov","christmas",2012,"Full Season","EuroLeague","Redbirds",6,1,70.48,15,3,8,2,15,3,4,1,3,4,3,0,4,2,0,0,2,6,6,0,0,0,0,0,0,0,0,0,129.6115,129.6115,1186.1618,19.0997,0.3484875,0.6522,0.1739,4.2915,6.9312,6.6163,5.7849,1.8662,2.4437,13.9082,-5.7589
"kadoshnikov","christmas",2012,"Full Season","Spain - ACB","Redbirds",18,6,294.62,86,16,29,13,46,15,22,1,6,23,8,0,17,10,0,0,4,40,23,0,0,0,0,0,0,0,0,0,531.4855,531.4855,2462.4074,16.697,0.5078,0.6133,0.2933,1.9459,7.9654,5.4856,3.148,1.9429,1.6389,16.7191,-2.0328
"kadoshnikov","christmas",2013,"Full Season","EuroLeague","Lions",15,2,168.55,77,14,22,11,34,16,16,1,4,12,5,0,8,6,0,0,1,20,15,0,0,0,0,0,0,0,0,0,289.6824,289.6824,2148.3282,21.6704,0.6107,0.6071,0.2857,4.4769,10.8857,6.257,7.387,2.6175,0.4018,11.2613,4.3154
"kadoshnikov","christmas",2013,"Full Season","Spain - ACB","Lions",33,3,347.76,110,22,42,17,59,15,22,0,7,26,7,0,18,10,0,0,8,41,24,0,0,0,0,0,0,0,0,0,600.4885,600.4885,3125.3893,18.5534,0.4969,0.5842,0.2178,3.4226,9.7343,7.8824,5.588,2.1977,2.3097,13.9882,-1.5795
"kadoshnikov","christmas",2014,"Full Season","EuroLeague","Lions",28,4,465.14,187,37,65,31,84,20,26,4,13,24,19,0,23,11,0,0,4,52,34,0,0,0,0,0,0,0,0,0,797.2247,797.2247,1996.7261,19.7964,0.5828,0.5638,0.1745,5.408,8.3034,5.654,7.3148,1.813,0.7414,12.5382,1.3225
"kadoshnikov","christmas",2014,"Full Season","Spain - ACB","Lions",42,15,748.28,290,41,84,54,133,46,52,3,18,46,36,0,18,23,0,0,10,81,58,0,0,0,0,0,0,0,0,0,1311.7742,1311.7742,3155.5262,16.9366,0.6045,0.6129,0.2396,3.7085,6.2373,4.5431,10.364,2.2155,1.6842,6.98,4.7835
"kadoshnikov","christmas",2015,"Full Season","EuroLeague","Lions",23,3,417.15,174,30,46,29,85,27,35,2,8,27,31,0,14,15,0,0,4,50,40,0,0,0,0,0,0,0,0,0,730.4032,730.4032,1978.5935,19.0694,0.5943,0.6489,0.2672,3.6188,10.3004,6.3447,14.0649,1.9455,1.2746,8.7282,4.0588
"kadoshnikov","christmas",2015,"Full Season","Spain - ACB","Lions",37,15,656.45,306,35,73,58,150,35,39,3,18,45,39,0,20,27,0,0,10,68,49,0,0,0,0,0,0,0,0,0,1132.9681,1132.9681,3054.8632,19.8479,0.6371,0.6726,0.1749,3.6495,9.3766,6.481,10.4413,2.6997,1.3563,7.6876,6.2276
"kadoshnikov","christmas",2016,"Full Season","EuroLeague","Lions",25,2,480.53,232,36,66,40,96,40,48,5,15,39,21,0,12,14,0,0,3,40,46,0,0,0,0,0,0,0,0,0,823.7213,823.7213,2014.1771,20.7245,0.6335,0.5926,0.2963,3.5384,9.4447,7.7603,10.8531,1.7896,1.1664,6.1501,4.6497
"kadoshnikov","christmas",2016,"Full Season","Spain - ACB","Lions",37,15,720.13,328,51,85,58,149,49,57,1,23,64,41,0,24,30,0,0,6,70,59,0,0,0,0,0,0,0,0,0,1252.7751,1252.7751,3087.8845,19.9135,0.633,0.6368,0.2436,4.4586,12.4469,7.4536,9.7644,2.6607,1.4643,8.4782,6.3995
"kadoshnikov","christmas",2020,"Full Season","EuroLeague","Lions",25,3,370.47,130,15,32,30,65,10,12,2,13,39,10,0,6,14,0,0,2,44,20,0,0,0,0,0,0,0,0,0,672.2918,672.2918,2105.0916,14.0446,0.6355,0.6701,0.1237,5.6833,15.6021,8.8723,2.6151,2.464,0.4633,5.5412,2.3995
"kadoshnikov","christmas",2020,"Full Season","Spain - ACB","Lions",28,7,507.15,154,22,40,33,90,11,15,3,15,46,16,0,16,16,0,0,6,55,20,0,0,0,0,0,0,0,0,0,937.5032,937.5032,2384.6576,14.1302,0.5637,0.6923,0.1154,4.6092,11.7646,8.4145,3.5354,1.926,1.4719,10.4849,0.894
"kadoshnikov","christmas",2021,"Full Season","EuroLeague","Lions",23,21,485.57,201,16,35,48,103,25,27,7,18,37,13,0,6,13,0,0,7,55,23,0,0,0,0,0,0,0,0,0,840.6968,840.6968,1740.0036,16.0709,0.6705,0.7464,0.1957,6.8349,9.8079,7.5704,3.3912,1.8656,2.1297,3.8491,5.7869
"kadoshnikov","christmas",2021,"Full Season","Spain - ACB","Lions",16,11,328.05,138,21,33,26,66,18,20,1,15,32,10,0,13,11,0,0,4,35,18,0,0,0,0,0,0,0,0,0,596.4051,596.4051,1527.8007,17.6141,0.6401,0.6667,0.202,8.2106,11.2972,10.5861,2.9201,1.8089,1.2151,10.7616,4.4962
"rashawn","de",2021,"Full Season","EuroCup","Redbirds",14,3,284.28,130,22,36,21,41,23,28,1,11,40,8,0,9,6,0,0,1,24,24,0,0,0,0,0,0,0,0,0,511.4485,511.4485,1005.6905,16.7567,0.7277,0.5325,0.3636,6.3421,22.2749,11.9027,4.51,1.2687,0.4578,9.1538,2.0439
"rashawn","de",2021,"Full Season","Spain - ACB","Redbirds",19,4,408.17,166,34,51,23,59,29,38,5,17,57,13,0,20,16,0,0,4,37,34,0,0,0,0,0,0,0,0,0,731.0018,731.0018,1370.6056,17.53,0.655,0.5364,0.3455,5.5283,20.5497,12.1629,3.4997,2.4254,1.2251,13.6314,2.2624
"damian","roll",2012,"Full Season","EuroCup","Cardinal",6,5,156.36,58,20,48,3,19,9,12,4,6,14,13,0,11,3,0,0,3,10,15,0,0,0,0,0,0,0,0,0,272.2655,272.2655,417.8987,25.882,0.4012,0.2836,0.1791,4.1306,11.4155,7.4165,16.9961,1.2577,1.9298,13.2085,-4.1635
"damian","roll",2013,"Full Season","EuroLeague","Blue Raiders",9,7,203.16,57,12,40,8,21,9,11,3,3,21,6,0,16,3,0,0,1,23,16,0,0,0,0,0,0,0,0,0,358.9661,358.9661,715.5681,19.7775,0.4329,0.3443,0.1803,2.4915,14.4652,7.8559,7.1747,0.6371,0.9906,19.5503,-7.1838
"damian","roll",2016,"Full Season","Italy - Liga A","Grizzlies",37,33,893,321,82,173,38,111,43,48,5,19,93,86,0,64,28,0,0,2,72,71,0,0,0,0,0,0,0,0,0,1629.4526,1629.4526,2946.8824,19.7898,0.526,0.3908,0.169,2.8827,12.3754,9.3118,18.2043,1.4395,0.1992,17.3385,-0.5004
"damian","roll",2017,"Full Season","Italy - Liga A","Hatters",23,1,425,136,31,79,20,55,14,16,6,14,49,34,0,29,17,0,0,2,20,29,0,0,0,0,0,0,0,0,0,775.9696,775.9696,2200.1019,19.1887,0.4821,0.4104,0.1194,4.5045,16.2455,9.8205,14.0717,1.8665,0.3066,17.0548,-3.4386
