"first_name","last_name","season","season_type","league","team","games","starts","minutes","points","plus_minus","two_points_made","two_points_attempted","three_points_made","three_points_attempted","free_throws_made","free_throws_attempted","blocked_shot_attempts","offensive_rebounds","defensive_rebounds","assists","screen_assists","turnovers","steals","deflections","loose_balls_recovered","blocked_shots","personal_fouls","personal_fouls_drawn","offensive_fouls","charges_drawn","technical_fouls","flagrant_fouls","ejections","points_off_turnovers","points_in_paint","second_chance_points","fast_break_points","possessions","estimated_possessions","calculated_possessions","plays_used","team_possessions","usage_percentage","true_shooting_percentage","three_point_attempt_rate","free_throw_rate","offensive_rebounding_percentage","defensive_rebounding_percentage","total_rebounding_percentage","assist_percentage","steal_percentage","block_percentage","turnover_percentage","internal_box_plus_minus"
"Kadoshnikov","Christmas",2017,"Full Season","NBA","Thunder",73,6,1135.2833,430,-49,43,100,99,264,47,53,9,20,75,44,10,33,37,30,15,8,122,0,0,0,0,0,0,0,0,0,0,2504.5,2314.6044,2504.5,421,8564.9572,15.7279,0.5551,0.7253,0.1456,2.2515,8.3138,4.1831,7.9835,1.7237,0.6262,7.8512,-1.8309
"Kadoshnikov","Christmas",2018,"Full Season","NBA","Thunder",81,8,1243.8,377,69,33,77,90,234,41,48,11,29,100,30,4,26,43,30,15,10,135,0,0,0,0,0,0,0,0,0,0,2666,2507.953,2666,361,8577.6105,12.3717,0.5676,0.7524,0.1543,2.7414,10.2934,6.3177,5.7126,1.711,1.1719,7.2601,-1.3166
"Kadoshnikov","Christmas",2019,"Full Season","NBA","Thunder",31,2,588.1667,165,29,15,30,41,127,12,13,6,5,43,20,1,14,17,29,15,6,53,0,0,0,1,0,0,0,0,0,0,1272,1258.1393,1272,165,9007.6928,12.2666,0.507,0.8089,0.0828,0.9124,7.2142,4.8119,3.7177,1.5495,1.2268,7.9221,-3.1117
"Kurucs","Humphrey",2013,"Full Season","NBA","Raptors",29,0,342.35,116,96,41,73,1,2,31,38,5,30,47,11,0,17,13,0,0,15,53,0,0,0,2.5,0,0,0,0,0,0,678.5,644.7166,678.5,112,7525.3031,14.7308,0.6324,0.0267,0.5067,11.5375,18.4324,14.6673,6.3495,2.0357,3.8387,15.6365,0.0371
"Kurucs","Humphrey",2014,"Full Season","NBA","Jazz",63,0,847.7,171,-140,62,126,4,15,35,53,10,72,144,28,0,30,23,0,0,26,122,0,0,0,2.5,0,0,0,0,0,0,1754.5,1662.7473,1754.5,196,7829.1455,10.1367,0.5195,0.0989,0.3701,11.0518,18.4784,14.5251,4.4947,1.5469,2.8704,15.6001,-1.7587
"Kurucs","Humphrey",2015,"Full Season","NBA","Knicks",68,21,1287.0667,398,-209.5,134,271,18,60,76,97,10,79,222,68,0,60,27,0,0,22,147,0,0,0,2.5,0,0,0,0,0,0,2629,2445.001,2629,443,7543.5866,15.5135,0.5325,0.1813,0.2931,6.574,20.8406,14.3429,10.4792,0.9514,1.1244,13.8351,-3.0652
"Kurucs","Humphrey",2016,"Full Season","NBA","Kings",59,29,875.9,307,-128,100,165,19,49,50,68,6,65,123,27,0,27,29,0,0,24,103,0,0,0,2.5,0,0,0,0,0,0,1904,1823.941,1904,279,8248.2366,13.134,0.6293,0.229,0.3178,9.6182,16.351,12.0208,2.991,1.6771,1.8829,9.966,-0.0467
"Kurucs","Humphrey",2017,"Full Season","NBA","Jazz",38,1,557.75,222,-34,33,80,37,90,45,60,7,20,95,18,10,21,14,30,9,15,67,0,0,0,0,0,0,0,0,0,0,1212,1167.5574,1212,220,8271.5907,16.8411,0.5669,0.5313,0.3557,3.6603,18.3391,10.561,3.7684,1.3334,2.4459,9.6581,-2.0683
"Kurucs","Humphrey",2018,"Full Season","NBA","Nets",70,8,1358.9833,411,-60,28,73,102,292,49,60,13,40,217,57,10,60,33,30,15,29,149,0,0,0,2.5,0,0,0,0,0,0,2973.5,2799.2844,2973.5,451,8179.6134,14.3792,0.525,0.8,0.1644,3.3418,17.8987,9.7072,7.1338,1.0741,1.3243,13.292,-2.5338
"Kurucs","Humphrey",2019,"Full Season","NBA","Suns",10,0,122.9167,17,4,2,3,2,15,7,10,0,3,22,8,10,4,1,4,2,4,24,0,0,0,1,0,0,0,0,0,0,288.5,257.421,288.5,27,8326.8264,9.2216,0.3795,0.8333,0.5556,1.7101,21.8502,11.1371,8.1426,0.3413,3.1202,15.1515,-8.008
